wl_nm,b,g,r,re,nir
649,0.00054,0.00550,0.00140,0.00078,0.00270
650,0.00042,0.00588,0.00208,0.00050,0.00243
651,0.00053,0.00641,0.00229,0.00000,0.00199
652,0.00043,0.00586,0.00249,0.00000,0.00134
653,0.00046,0.00540,0.00353,0.00000,0.00113
654,0.00047,0.00554,0.00426,0.00063,0.00080
655,0.00031,0.00555,0.00498,0.00115,0.00068
656,0.00038,0.00546,0.00709,0.00121,0.00043
657,0.00037,0.00500,0.00940,0.00168,0.00039
658,0.00040,0.00436,0.01439,0.00134,0.00031
659,0.00035,0.00423,0.01898,0.00146,0.00034
660,0.00033,0.00446,0.03113,0.00106,0.00033
661,0.00059,0.00499,0.04458,0.00136,0.00026
662,0.00032,0.00457,0.07933,0.00208,0.00030
663,0.00032,0.00447,0.12200,0.00173,0.00034
664,0.00023,0.00462,0.19019,0.00173,0.00029
665,0.00041,0.00468,0.34829,0.00126,0.00027
666,0.00031,0.00467,0.47841,0.00108,0.00027
667,0.00043,0.00478,0.64761,0.00114,0.00033
668,0.00028,0.00458,0.72813,0.00224,0.00030
669,0.00027,0.00389,0.80919,0.00227,0.00030
670,0.00022,0.00438,0.84610,0.00155,0.00026
671,0.00039,0.00440,0.86998,0.00206,0.00031
672,0.00044,0.00397,0.85495,0.00163,0.00025
673,0.00046,0.00403,0.80709,0.00184,0.00021
674,0.00056,0.00404,0.74372,0.00204,0.00032
675,0.00063,0.00364,0.58204,0.00186,0.00023
676,0.00042,0.00341,0.43299,0.00213,0.00025
677,0.00060,0.00368,0.22908,0.00239,0.00026
678,0.00068,0.00385,0.13639,0.00228,0.00019
679,0.00085,0.00418,0.06124,0.00245,0.00027
680,0.00079,0.00447,0.03704,0.00320,0.00021
681,0.00069,0.00499,0.01876,0.00310,0.00019
682,0.00069,0.00571,0.01288,0.00162,0.00031
683,0.00044,0.00605,0.00771,0.00218,0.00035
684,0.00052,0.00543,0.00580,0.00261,0.00035
685,0.00046,0.00562,0.00406,0.00243,0.00031
686,0.00031,0.00655,0.00370,0.00202,0.00021
687,0.00042,0.00629,0.00281,0.00324,0.00027
688,0.00041,0.00628,0.00250,0.00379,0.00029
689,0.00045,0.00629,0.00221,0.00372,0.00037
690,0.00036,0.00660,0.00205,0.00398,0.00028
691,0.00041,0.00643,0.00198,0.00249,0.00033
692,0.00040,0.00574,0.00155,0.00272,0.00029
693,0.00029,0.00579,0.00122,0.00140,0.00033
694,0.00035,0.00592,0.00102,0.00359,0.00039
695,0.00044,0.00598,0.00101,0.00346,0.00039
696,0.00051,0.00656,0.00108,0.00281,0.00044
697,0.00041,0.00721,0.00101,0.00322,0.00036
698,0.00047,0.00822,0.00158,0.00424,0.00033
699,0.00050,0.00964,0.00116,0.00441,0.00029
700,0.00040,0.01089,0.00157,0.00468,0.00021
701,0.00042,0.01157,0.00158,0.00567,0.00036
702,0.00050,0.01180,0.00119,0.00735,0.00034
703,0.00057,0.01083,0.00174,0.01057,0.00018
